Designator,MID X,MID Y,Rotation,LAYER
C18,8.67,40.18,90,Top
C19,13.68,53.21,0,Top
C25,72.15,15.70,90,Top
C2,50.23,23.83,90,Top
C4,52.74,23.80,90,Top
C6,60.41,23.80,90,Top
C8,60.41,32.54,90,Top
C10,66.48,23.11,0,Top
C24,74.97,15.65,90,Top
C1,45.17,23.77,90,Top
C3,55.31,13.13,90,Top
C5,58.92,14.22,0,Top
C7,70.27,32.56,90,Top
C9,66.51,19.23,0,Top
C13,69.33,88.27,90,Top
C15,82.33,90.17,90,Top
C30,57.85,71.93,90,Top
C11,62.75,61.47,0,Top
C12,79.36,33.17,0,Top
C20,13.68,50.62,0,Top
C16,78.78,90.53,270,Top
R25,72.53,58.34,0,Top
R27,72.50,53.24,0,Top
R31,72.50,38.63,0,Top
R32,72.50,43.38,0,Top
R54,33.79,25.55,0,Top
R2,47.66,23.80,90,Top
R4,55.31,23.80,90,Top
R6,57.85,23.77,90,Top
R8,66.66,31.47,0,Top
R22,70.57,22.22,90,Top
R41,8.65,44.91,90,Top
R11,31.60,84.27,90,Top
R12,31.53,91.64,90,Top
R15,13.73,91.59,90,Top
R16,13.81,84.33,90,Top
R21,73.04,32.54,90,Top
R23,87.90,53.19,0,Top
R24,87.92,55.75,0,Top
R29,88.07,38.58,0,Top
R30,88.07,41.17,0,Top
R39,78.42,11.63,0,Top
R40,83.35,11.58,0,Top
R50,45.15,71.73,90,Top
R51,28.00,71.73,90,Top
R57,36.59,71.73,90,Top
R58,53.76,71.68,90,Top
R59,91.22,24.33,90,Top
R60,91.15,14.17,90,Top
R1,46.19,18.26,0,Top
R3,48.22,14.12,0,Top
R61,64.20,82.17,90,Top
R66,67.45,58.24,0,Top
R67,67.48,53.16,0,Top
R68,67.45,43.36,0,Top
R69,67.45,38.58,0,Top
R7,87.03,31.55,0,Top
R63,11.44,11.28,0,Top
R9,34.05,84.28,90,Top
R10,34.10,91.62,90,Top
R13,16.57,91.57,90,Top
R14,16.57,84.28,90,Top
R35,88.00,58.29,0,Top
R36,88.13,43.69,0,Top
R37,87.95,50.65,0,Top
R38,88.10,36.04,0,Top
R48,45.12,66.83,90,Top
R49,27.98,66.80,90,Top
R55,36.61,66.83,90,Top
R56,53.71,66.85,90,Top
LED1,62.73,58.24,0,Top
LED2,62.70,53.24,0,Top
LED3,62.73,43.38,0,Top
LED4,62.73,38.63,0,Top
IC6,9.36,19.63,270,Top
