# Created by VisualPlace version 3.1.6239 at Sun Jun  6 14:20:19 2021
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package","Type"

"C1","","1.8275","1.0320","90.0","Top","0603","SMD"
"C2","","1.9785","1.0330","90.0","Top","0603","SMD"
"C3","","2.1175","0.8540","0.0","Top","0603","SMD"
"C4","","2.0775","1.0330","90.0","Top","0603","SMD"
"C5","","2.3355","0.8550","0.0","Top","0603","SMD"
"C6","","2.2285","1.0330","90.0","Top","0603","SMD"
"C7","","2.4905","1.5780","90.0","Top","0603","SMD"
"C8","","2.2785","1.5770","90.0","Top","0603","SMD"
"C9","","2.9185","0.8540","0.0","Top","0603","SMD"
"C10","","2.8775","1.0320","90.0","Top","0603","SMD"
"C11","","2.5123","2.3668","0.0","Top","0603","SMD"
"C12","","2.9705","2.0543","0.0","Top","0603","SMD"
"C18","","0.5695","1.5170","0.0","Top","0603","SMD"
"C19","","1.9611","2.4127","90.0","Top","0603","SMD"
"C20","","2.0370","2.4153","90.0","Top","0603","SMD"
"C24","","3.5615","0.6910","0.0","Top","0603","SMD"
"C25","","3.5625","1.0170","0.0","Top","0603","SMD"
"C26","","2.5175","0.8530","0.0","Top","0603","SMD"
"C27","","2.4785","1.0320","90.0","Top","0603","SMD"
"C28","","2.7095","0.8540","0.0","Top","0603","SMD"
"C29","","2.7505","1.0320","90.0","Top","0603","SMD"
"C31","","1.9045","1.5170","0.0","Top","0603","SMD"
"C32","","2.5110","2.4430","0.0","Top","0603","SMD"
"C33","","2.9700","1.9800","0.0","Top","0603","SMD"
"C34","","1.4428","1.3606","0.0","Top","0603","SMD"
"C13","","2.5286","3.6250","90.0","Top","0805","SMD"
"C15","","3.2445","3.6670","180.0","Top","0805","SMD"
"C14","","2.6535","3.6130","90.0","Top","1206","SMD"
"C16","","3.2595","3.5420","180.0","Top","1206","SMD"
"R2","","1.9035","1.0330","90.0","Top","0603","SMD"
"R4","","2.1525","1.0320","90.0","Top","0603","SMD"
"R6","","2.3025","1.0320","90.0","Top","0603","SMD"
"R7","","2.6745","1.5420","0.0","Top","0603","SMD"
"R8","","2.3875","1.5430","0.0","Top","0603","SMD"
"R9","","1.5163","3.3163","90.0","Top","0603","SMD"
"R10","","1.5163","3.5793","90.0","Top","0603","SMD"
"R11","","1.4278","3.3185","90.0","Top","0603","SMD"
"R12","","1.4284","3.5819","90.0","Top","0603","SMD"
