Designator,Package,PN# - JLCPCB,Notes,
C14,1206,C165111,47uF,
C16,1206,C7171,10uf Tant,
"C13,C15",0805,C5378 ,0.22uF,
C18,0603,C1671,47PF,
"C2,C31",0603,C1615,330NF,
"C4,C6,C8,C10,C24,C27,C29,C32,C33",0603,C14663,0.1uF / 100nF,
"C1,C3,C5,C7,C9,C26,C28",0603,C21120,0.22uF,
"C19,C25",0603,C57112,0.01uF / 10nF,
"C11,C12,C20",0603,C15849,1uF,
,,,,
,,,,
"R25,R27,R31,R32",0805,C17480,15,
,,,,
R62,0603,C22787 ,120,
"R2,R4,R6,R8,R22,R41,R64,R65,R79",0603,C23179,470,
"R11,R12,R15,R16,R21,R23,R24,R29,R30,R39,R40,R50,R51,R57,R58,R59,R60,R75,R77",0603,C21190,1k,
R78,0603,C22975,2K,
"R66,R67,R68,R69,R80,R81,R82,R83",0603,C22940,2.4k,
R61,0603,C126158,2.49K,
R7,0603,C23018,3.9k,
R63,0603,C25804,10K,
R76,0603,C23196,51k,
"R9,R10,R13,R14,R35,R36,R37,R38,R48,R49,R55,R56",0603,C25803,100k,
,,,,
,,,,
"LED1,LED2,LED3,LED4",0603,C2286,RED,
"LED5,LED6,LED7,LED8",0603,C2286,RED,
,,,,
D15,DO214AC,C8678,SS34,Diodes 3AMP
"D20,D21,D22,D23",SOD323,C2128 ,1N4148WS ,300ma Max
,,,,
F1,1206,C70068,500ma,PolyFuse
U1,TO252,C310413,Regulator,
,,,,
"IC1,IC2",SO-8,C31450,IGN Driver,tc4427
IC6,SOIC16,C7512,Array,
"IC7,IC8,IC9,IC10",SOT-23-6,C85364,TVS,
